Categoria,Sottocategoria,Descrizione,Unità_Misura,Prezzo_Unitario,Note
DEMOLIZIONI,Demolizione pavimenti,Demolizione e rimozione pavimento esistente,mq,10.0,Include rimozione e trasporto
DEMOLIZIONI,Demolizione murature,Demolizione tramezzi in mattoni forati,mq,15.0,Spessore 8-12 cm
DEMOLIZIONI,Demolizione intonaci,Rimozione intonaco civile da pareti,mq,5.0,Completo di pulizia
DEMOLIZIONI,Demolizione infissi,Rimozione porte e finestre esistenti,cad,50.0,Include controtelaio
OPERE MURARIE,Murature,Realizzazione tramezzo in mattoni forati 8 cm,mq,45.0,Mattoni 8x12x24
OPERE MURARIE,Murature,Realizzazione tramezzo in mattoni forati 12 cm,mq,55.0,Mattoni 12x12x24
OPERE MURARIE,Murature,Realizzazione muro in mattoni pieni 12 cm,mq,65.0,Mattoni pieni tradizionali
OPERE MURARIE,Pareti cartongesso,Parete in cartongesso standard spessore 10 cm,mq,40.0,Include struttura metallica
OPERE MURARIE,Pareti cartongesso,Parete in cartongesso idrorepellente,mq,45.0,Per ambienti umidi
OPERE MURARIE,Pareti cartongesso,Controparete cartongesso con isolante,mq,50.0,Include lana di roccia
PAVIMENTAZIONI,Ceramica e gres,Pavimento in gres porcellanato 60x60,mq,40.0,Include sottofondo e posa
PAVIMENTAZIONI,Ceramica e gres,Pavimento in ceramica 20x20,mq,25.0,Prima scelta
PAVIMENTAZIONI,Laminato e parquet,Pavimento laminato classe 32,mq,30.0,Spessore 8mm
PAVIMENTAZIONI,Laminato e parquet,Parquet in rovere spazzolato,mq,60.0,Spessore 14mm
PAVIMENTAZIONI,Preparazione,Massetto di sottofondo,mq,12.0,Spessore 4-6 cm
INTONACI E FINITURE,Intonaci,Intonaco civile a tre strati,mq,15.0,Su muratura
INTONACI E FINITURE,Intonaci,Rasatura su cartongesso,mq,8.0,Doppia passata
INTONACI E FINITURE,Pitture,Idropittura lavabile per interni,mq,6.0,Due mani
INTONACI E FINITURE,Pitture,Smalto lucido per legno,mq,12.0,Tre mani
INTONACI E FINITURE,Rivestimenti,Piastrelle bagno 20x25,mq,35.0,Include malta adesiva
IMPIANTO ELETTRICO,Punti luce,Punto luce completo,cad,45.0,Include scatola e cavo
IMPIANTO ELETTRICO,Prese,Presa 10/16A con messa a terra,cad,35.0,Include scatola
IMPIANTO ELETTRICO,Quadri,Quadro elettrico 12 moduli,cad,180.0,Include differenziali
IMPIANTO ELETTRICO,Tracce,Traccia in muratura per impianto,ml,8.0,Profondità 3 cm
IMPIANTO IDRAULICO,Sanitari,WC sospeso completo,cad,250.0,Include cassetta incasso
IMPIANTO IDRAULICO,Sanitari,Lavabo con colonna,cad,150.0,Ceramica bianca
IMPIANTO IDRAULICO,Sanitari,Piatto doccia 80x80,cad,120.0,In ceramica
IMPIANTO IDRAULICO,Tubazioni,Tubazione multistrato,ml,8.0,Diametro 20mm
IMPIANTO IDRAULICO,Allacciamenti,Allacciamento lavabo,cad,80.0,Include rubinetteria base
COPERTURE,Manti,Tegole marsigliesi,mq,25.0,Include listelli
COPERTURE,Manti,Lamiera grecata,mq,18.0,Spessore 0.5mm
COPERTURE,Isolamento,Isolamento tetto lana di roccia,mq,20.0,Spessore 10cm
COPERTURE,Struttura,Trave in legno lamellare,ml,35.0,Sezione 12x20
INFISSI E SERRAMENTI,Finestre,Finestra PVC doppio vetro 120x140,cad,400.0,Include posa
INFISSI E SERRAMENTI,Finestre,Finestra alluminio taglio termico 120x140,cad,600.0,Triplo vetro
INFISSI E SERRAMENTI,Porte,Porta interna laminato bianco 80x210,cad,180.0,Include maniglia
INFISSI E SERRAMENTI,Porte,Porta blindata classe 3,cad,800.0,Include serratura
INFISSI E SERRAMENTI,Persiane,Persiane alluminio,mq,85.0,Colore a scelta
ISOLAMENTI,Termico,Cappotto termico EPS,mq,45.0,Spessore 10cm
ISOLAMENTI,Termico,Isolamento interno cartongesso,mq,35.0,Spessore 8cm
ISOLAMENTI,Acustico,Isolamento acustico lana di roccia,mq,25.0,Densità 100 kg/mc
MATERIALI BASE,Cemento e malte,Cemento Portland 42.5 R,q,24.4,Sacco da 25 kg
MATERIALI BASE,Cemento e malte,Malta bastarda premiscelata,q,14.59,Pronta uso
MATERIALI BASE,Mattoni,Mattoni forati 12x25x30,cad,0.61,Pezzo singolo
MATERIALI BASE,Mattoni,Mattoni pieni 6x13x26,cad,0.48,Tradizionali
MATERIALI BASE,Ferro,Ferro tondo per c.a.,kg,1.0,Prezzo al kg
MATERIALI BASE,Sabbia e ghiaia,Sabbia 0/4 lavata,ton,18.9,Per malte
MATERIALI BASE,Sabbia e ghiaia,Ghiaia 8/16,ton,19.25,Per calcestruzzo
MANODOPERA,Muratore specializzato,Ora muratore 4° livello,ora,34.0,Include oneri
MANODOPERA,Muratore qualificato,Ora muratore 2° livello,ora,28.0,Include oneri
MANODOPERA,Manovale,Ora manovale,ora,25.0,Include oneri
MANODOPERA,Specialista,Ora elettricista,ora,35.0,Specializzato
MANODOPERA,Specialista,Ora idraulico,ora,35.0,Specializzato
